,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드,경양식,분식,일식,중국식,한식,의료,생활편의시설,교통,쇼핑시설,장보기시설,생활복지시설,여가
253,동선동2가,0,6,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,115,16,2,15,3,2,2,39,0,1,6,1,3,0,5
254,동선동3가,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38,9,1,1,3,2,1,12,0,2,0,0,2,1,1
255,동선동4가,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,14,0,0,0,0,1,1,0,0,0,46,12,2,3,4,0,0,13,18,0,3,1,2,0,3
256,동선동5가,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,30,3,1,0,3,0,2,8,2,1,1,0,1,0,3
257,안암동1가,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,4,2,1,0,7,0,2,4,0,0,0,1
258,안암동2가,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,19,6,0,1,1,1,0,5,3,2,6,0,1,0,0
259,안암동3가,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,1,0,0,0,4,0,3,0,0,0,0,1
260,안암동4가,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,3,1,0,1,0,0,0,1
261,안암동5가,1,20,1,0,1,0,0,7,6,0,0,0,0,0,0,0,1,10,9,0,0,0,0,14,10,0,1,1,323,48,8,28,19,13,18,115,20,1,21,1,7,1,31
262,보문동4가,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,25,4,0,2,1,0,2,12,4,0,1,0,2,0,2
263,보문동5가,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,22,4,2,3,0,2,1,6,8,1,1,0,1,0,0
264,보문동6가,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,0,0,0,1,0,4,0,2,0,0,1,1,0
265,보문동7가,0,2,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,45,2,0,2,5,2,2,19,2,2,2,0,2,0,3
266,보문동1가,1,4,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,3,0,0,2,2,2,10,3,1,5,0,1,0,3
267,보문동2가,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,18,3,0,0,0,1,1,6,5,3,1,0,2,0,1
268,보문동3가,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
269,정릉동,0,133,6,10,5,27,0,19,10,0,0,0,0,0,0,1,2,27,38,3,2,0,3,19,22,2,1,1,505,67,12,18,29,13,17,218,67,32,133,6,20,8,65
270,길음동,1,39,3,2,1,13,0,24,9,2,3,4,1,0,0,1,0,21,35,2,1,1,2,6,5,2,0,0,235,49,7,4,17,17,10,86,56,14,40,4,34,6,24
271,종암동,1,57,2,6,2,17,0,9,7,0,1,0,0,0,0,0,2,19,35,1,1,1,0,12,10,1,0,0,276,36,6,8,16,11,7,132,56,19,58,2,10,4,35
272,하월곡동,1,54,1,6,2,20,0,16,10,0,1,1,0,0,0,0,1,25,36,0,1,0,4,23,13,2,0,0,409,54,11,11,27,14,13,185,62,22,55,1,18,3,56
273,상월곡동,1,11,0,3,0,3,0,2,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,1,1,1,71,12,1,4,3,1,2,31,6,3,12,0,2,3,7
274,장위동,0,99,1,1,2,24,0,10,5,1,2,0,0,0,0,2,0,23,24,2,0,1,1,11,14,1,0,0,332,42,3,4,18,6,11,156,47,26,99,1,15,4,32
275,석관동,1,30,2,2,2,15,0,6,6,0,2,0,0,0,0,2,0,17,34,1,1,0,3,16,13,1,0,0,339,29,5,5,13,9,7,177,51,17,31,2,10,3,40
276,미아동,2,150,6,3,13,67,6,41,22,0,3,4,0,2,1,0,8,58,202,3,3,2,4,94,33,5,2,2,1408,105,20,26,103,43,43,633,268,80,152,9,48,15,164
277,번동,0,98,3,7,5,25,6,10,7,0,0,0,0,0,0,0,4,18,66,0,2,1,2,36,14,1,0,0,423,34,11,19,40,8,12,185,88,30,98,3,10,4,72
278,수유동,1,144,1,4,8,50,9,34,16,0,4,0,0,1,0,2,3,34,126,1,4,1,0,161,40,1,0,0,1432,90,16,33,94,45,25,650,163,58,145,2,40,7,230
279,우이동,0,16,0,0,1,6,0,3,0,0,0,0,0,0,0,0,0,8,7,1,0,0,2,9,4,0,1,1,174,11,1,3,7,3,2,98,15,7,16,0,3,2,16
280,쌍문동,0,94,7,6,4,33,0,12,20,0,1,0,0,0,0,0,6,18,44,0,2,1,6,31,20,3,2,2,468,68,6,26,36,23,16,203,68,37,94,7,13,8,85
281,방학동,0,78,2,10,5,28,7,26,19,1,1,1,0,0,0,0,5,16,45,1,2,2,4,76,42,2,0,0,626,66,9,24,36,33,20,290,66,33,78,2,29,7,158
282,창동,2,114,6,12,6,34,5,32,31,1,2,1,0,0,0,0,3,33,75,0,2,1,5,80,48,2,0,0,775,114,15,24,61,53,27,330,111,40,116,6,36,5,181
283,도봉동,1,82,2,7,4,21,0,11,7,0,2,0,0,0,0,0,2,10,23,0,2,0,7,44,17,2,0,0,445,43,3,8,26,11,9,242,35,25,83,2,13,4,82
284,월계동,1,106,3,7,3,17,0,23,11,0,0,0,0,0,1,0,1,25,65,3,1,1,0,35,16,3,1,1,448,59,17,18,43,19,21,170,91,20,107,4,23,9,70
285,공릉동,4,107,5,11,3,24,0,34,20,2,1,0,0,0,0,0,2,40,97,1,1,1,0,45,26,2,3,3,768,123,22,30,64,41,22,317,139,27,111,5,37,8,105
286,하계동,1,55,0,6,1,12,0,7,3,0,1,0,0,0,0,0,0,15,23,1,0,1,0,2,2,1,0,0,181,38,7,5,18,12,5,78,38,13,56,0,8,3,13
287,상계동,6,191,12,21,8,60,17,70,49,1,3,0,1,0,1,0,10,99,361,2,4,2,0,145,50,2,0,0,1613,233,33,58,133,90,69,710,470,68,197,14,74,10,282
288,중계동,1,75,5,17,7,28,11,30,18,2,1,1,1,1,0,0,1,40,130,1,2,0,0,34,14,4,0,0,557,108,20,19,72,23,23,228,171,35,76,7,34,7,94
289,수색동,0,18,1,0,0,5,0,2,0,0,1,1,0,0,0,0,0,5,9,1,0,1,0,3,3,0,0,0,87,8,2,2,11,1,3,45,14,5,18,1,4,2,6
290,녹번동,2,23,2,5,1,14,1,12,4,0,0,0,0,0,0,0,2,8,23,0,0,1,6,15,7,0,0,0,260,30,0,10,11,8,11,149,33,15,25,2,12,1,38
291,불광동,1,63,0,7,6,24,0,16,13,0,2,0,0,1,2,0,2,17,76,2,1,0,5,12,14,1,1,1,444,38,5,12,40,11,11,253,95,30,64,3,18,5,52
292,갈현동,2,72,3,8,5,20,0,14,15,0,0,0,0,0,0,0,2,15,44,1,1,0,1,57,30,0,0,0,679,50,5,33,33,33,10,349,61,25,74,3,14,2,111
293,구산동,1,34,1,3,0,14,0,12,3,0,1,1,0,0,0,0,2,7,22,1,0,0,7,1,1,1,0,0,117,24,3,4,11,3,3,59,31,14,35,1,14,2,15
294,대조동,2,26,2,2,1,12,9,16,12,0,2,0,0,0,2,0,2,20,89,0,1,0,1,16,13,0,0,0,405,37,12,17,28,14,9,229,111,13,28,4,18,1,53
295,응암동,0,82,4,6,6,30,0,28,28,0,2,1,0,0,0,2,2,30,93,1,2,0,3,46,32,1,0,0,705,71,11,19,40,32,21,387,125,36,82,4,33,4,115
296,역촌동,0,51,3,4,3,17,0,17,14,0,2,0,0,0,0,1,1,16,37,1,1,1,0,25,20,0,0,0,391,37,4,12,28,11,13,214,54,20,51,3,20,3,63
297,신사동,4,74,6,27,10,39,17,89,63,4,0,0,0,1,0,0,12,94,699,1,2,0,2,39,20,1,5,5,2206,217,23,565,125,194,58,669,805,49,78,7,93,9,173
298,신사동,4,74,6,27,10,39,17,89,63,4,0,0,0,1,0,0,12,94,699,1,2,0,2,39,20,1,5,5,2206,217,23,565,125,194,58,669,805,49,78,7,93,9,173
299,증산동,2,12,0,5,1,7,0,8,3,0,0,0,0,0,0,0,0,9,19,1,0,0,0,8,11,1,0,0,139,12,1,5,6,5,7,78,28,8,14,0,8,2,27
300,진관동,1,61,1,4,1,16,8,30,7,0,0,0,0,0,1,0,1,22,53,2,1,1,9,3,3,3,1,1,310,55,6,9,23,11,12,171,76,17,62,2,30,8,35
301,충정로2가,0,11,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,9,0,0,0,0,4,1,0,0,0,99,11,0,6,12,6,2,51,11,1,11,1,1,0,7
302,충정로3가,2,18,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,2,0,1,1,144,18,3,10,15,6,5,80,6,2,20,0,2,1,6
303,합동,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,4,0,3,1,0,1,9,0,2,0,0,1,0,2
304,미근동,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,2,0,0,0,70,7,0,2,6,3,2,39,6,1,3,0,0,0,7
305,냉천동,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,83,7,0,8,9,5,0,43,7,0,6,0,1,0,2
306,천연동,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,2,0,4,2,0,1,13,1,2,8,1,0,0,0
307,옥천동,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,19,1,0,1,0,0,0,13,6,1,0,1,0,1,0
308,영천동,0,8,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,3,11,0,0,0,0,5,0,0,0,0,25,1,0,1,2,0,1,15,14,1,8,0,3,0,8
