,법정동명,석유판매업,공원수,음식점수,장보기시설,쇼핑시설,의료,치안,생횔편의시설,여가,교통
86,무악동,0,1,50,1.0,0.0,9,0,6,2,5
87,무교동,0,1,65,0.0,0.0,18,0,1,6,0
88,다동,0,1,163,0.0,0.0,7,1,4,7,0
89,태평로1가,0,1,69,0.0,0.0,4,1,5,8,5
90,을지로1가,0,0,45,0.0,0.0,5,0,4,2,5
91,을지로2가,0,2,163,0.0,0.0,23,0,4,8,3
92,남대문로1가,0,0,9,0.0,0.0,0,0,0,0,2
93,삼각동,0,1,8,0.0,0.0,4,0,0,0,1
94,수하동,0,0,41,0.0,0.0,2,0,1,4,0
95,장교동,0,0,23,0.0,1.0,3,0,1,4,0
96,수표동,0,0,48,0.0,0.0,3,0,0,4,1
97,소공동,0,0,88,0.0,2.0,5,0,19,3,2
98,남창동,0,0,158,0.0,5.0,19,1,4,10,6
99,북창동,0,0,142,0.0,0.0,2,0,4,9,0
100,태평로2가,0,0,110,0.0,0.0,6,0,4,5,7
101,남대문로2가,0,0,24,0.0,2.0,3,0,0,5,6
102,남대문로3가,0,0,36,0.0,0.0,5,0,1,0,4
103,남대문로4가,0,0,57,0.0,0.0,5,0,1,2,2
104,남대문로5가,0,1,205,0.0,0.0,24,0,13,14,9
105,봉래동1가,1,0,28,0.0,0.0,5,0,1,2,5
106,봉래동2가,0,0,11,1.0,2.0,1,1,3,1,8
107,회현동1가,0,0,144,0.0,1.0,14,1,7,10,3
108,회현동2가,0,0,34,0.0,0.0,1,1,2,2,3
109,회현동3가,0,0,15,0.0,0.0,2,0,1,0,0
110,충무로1가,0,0,77,0.0,2.0,16,0,13,9,2
111,충무로2가,0,0,102,0.0,2.0,16,0,5,16,3
112,명동1가,0,0,64,0.0,0.0,15,0,4,7,0
113,명동2가,0,0,170,0.0,2.0,18,1,5,14,0
114,남산동1가,0,0,25,0.0,0.0,6,0,2,0,1
115,남산동2가,0,0,61,0.0,0.0,0,0,4,2,1
116,남산동3가,0,0,12,0.0,0.0,2,0,0,0,0
117,저동1가,0,0,38,0.0,0.0,2,0,0,1,3
118,충무로4가,0,0,113,0.0,1.0,8,1,1,17,2
119,충무로5가,0,0,55,0.0,0.0,3,0,1,3,1
120,인현동2가,0,0,64,0.0,0.0,2,0,0,5,0
121,예관동,0,0,15,0.0,0.0,0,0,0,0,1
122,묵정동,0,0,18,0.0,0.0,4,0,1,1,1
123,필동1가,0,0,61,0.0,0.0,3,1,2,2,4
124,필동2가,2,0,143,0.0,0.0,6,0,2,12,3
125,필동3가,0,0,67,0.0,0.0,2,0,1,7,0
126,남학동,0,0,17,0.0,0.0,0,0,1,0,0
127,주자동,0,0,2,0.0,0.0,0,0,0,0,0
128,예장동,0,0,23,0.0,0.0,0,0,0,1,3
129,장충동1가,1,0,29,0.0,0.0,2,0,2,2,3
130,장충동2가,1,0,126,0.0,0.0,2,1,15,10,11
131,광희동1가,0,0,92,0.0,0.0,1,0,4,2,1
132,광희동2가,0,0,19,0.0,0.0,4,0,0,2,6
133,쌍림동,0,1,47,0.0,0.0,6,0,4,2,2
134,을지로6가,0,0,272,0.0,9.0,19,0,7,30,8
135,을지로7가,0,0,25,0.0,1.0,1,0,1,0,1
136,을지로4가,0,0,61,0.0,1.0,18,0,1,4,5
