기준년분기코드,행정동코드,집객시설수,관공서수,은행수,종합병원수,일반병원수,약국수,유치원수,초등학교수,중학교수,고등학교수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
202203,11350600,246,7,6,1,,14,3,4,4,2,68,,1,,,,,,1,65
202203,11350624,71,2,3,,,14,1,1,3,2,,,,,,,,,,6
202203,11350710,65,3,4,,,6,1,3,2,2,,,,,,,,,,23
202203,11350720,47,3,,,,1,1,2,1,1,,,,,,,,,,28
202203,11350670,90,2,1,,,11,,1,,,,,,,3,,,,1,31
202203,11380560,109,3,,,1,8,3,3,2,3,,,,,,,,,,36
202203,11380690,205,6,6,,,22,6,6,2,4,,,,,,,,,1,80
202203,11410585,357,6,10,1,,22,1,3,1,1,107,1,,,3,,,,2,60
202203,11410520,117,4,1,,,4,,1,1,1,13,,,,1,,,,,44
202203,11440680,98,4,3,,,10,1,1,1,,,,,,,,,,,30
202203,11470520,81,3,2,,1,13,3,1,,,,,,,1,,,,1,17
202203,11470550,127,8,9,1,,12,4,3,2,2,,,,,,,,,,51
202203,11470540,72,3,3,,,9,1,1,1,1,,,,,,,,,,14
202203,11500593,80,2,3,,,8,1,,,,,,,,,,,,1,32
202203,11470670,61,7,6,,,2,2,,1,1,,,,,,,,,,30
202203,11530520,67,4,1,,,5,3,1,1,1,,,4,,,,,,,28
202203,11530780,173,3,1,,1,9,6,3,2,1,,,,,,,,,1,83
202203,11560515,81,4,,,,10,2,2,1,2,,,,,2,,,,1,24
202203,11560650,92,3,5,,1,12,3,1,,,,,,,2,,,,,31
202203,11590670,68,3,1,,,10,3,1,1,,1,,,,,,,,,15
202203,11590640,78,3,1,,,5,,2,1,,3,,1,,,,,,1,31
202203,11650570,67,4,5,,,5,,2,1,,,,1,,,,,,1,25
202203,11650520,206,8,26,,,24,,1,1,1,,,,,1,,,,2,47
202203,11650610,105,4,2,,,3,,1,1,1,,,1,,1,,,,1,37
202203,11650651,238,12,11,,1,20,3,4,1,,1,,,,,,,,2,86
202203,11680600,122,4,11,,,13,1,1,1,2,1,,,,,,,,,22
202203,11680670,131,3,3,,,9,5,4,1,3,,,,,,,,,3,54
202203,11710520,104,5,5,1,,26,2,2,3,1,3,,,,,,,,,23
202203,11740550,80,3,,,,4,1,2,1,1,,,,,,,,,,26
202203,11740600,75,4,1,,,12,,1,1,1,1,,,,,,,,1,12
202203,11740650,98,2,3,,4,14,,,,,,,,,,,,,3,15
202203,11110600,60,5,4,,,1,1,1,1,2,1,,,,,,,,,24
202203,11140590,181,3,16,1,,14,,,1,,,,1,,11,,,,3,19
202203,11170560,85,6,3,,,6,1,1,,,3,,4,,,,,,,31
202203,11170580,54,1,1,,,5,,1,,1,1,,,,,,,,2,17
202203,11170650,67,8,5,,,4,,1,,,,,3,,,,,,1,14
202203,11215810,123,5,9,,,9,3,3,3,1,11,,,,,,,,1,32
202203,11215770,87,2,2,,,7,,1,1,2,,,,,,,,,,36
202203,11230560,138,5,2,,1,13,3,1,1,1,,,,,5,,,,3,36
202203,11230570,90,2,2,,,12,3,3,2,1,27,,,,,,,,,15
