,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드
87,무교동,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,4,14,0,0,0,1,0,2,0.0,0.0,0.0,65.0,7.0,1.0
88,다동,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2,5,0,1,0,1,0,4,0.0,0.0,0.0,163.0,23.0,3.0
89,태평로1가,0,5,1,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,3,0.0,1.0,1.0,68.0,18.0,0.0
90,을지로1가,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0.0,1.0,1.0,45.0,19.0,1.0
91,을지로2가,0,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,5,18,0,0,0,2,0,7,0.0,0.0,0.0,159.0,33.0,1.0
92,남대문로1가,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.0,2.0,0.0
93,삼각동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0.0,0.0,0.0,7.0,3.0,0.0
94,수하동,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0,0.0,0.0,41.0,6.0,0.0
95,장교동,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0.0,0.0,0.0,23.0,2.0,0.0
96,수표동,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0.0,0.0,0.0,48.0,9.0,0.0
97,소공동,0,2,0,2,1,4,0,14,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0.0,0.0,0.0,87.0,29.0,3.0
98,남창동,1,5,0,3,0,1,0,3,2,0,5,0,0,0,0,0,0,6,13,0,1,0,0,1,4,0.0,0.0,0.0,159.0,22.0,0.0
99,북창동,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0.0,0.0,0.0,139.0,6.0,0.0
100,태평로2가,0,7,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0.0,0.0,0.0,106.0,16.0,3.0
101,남대문로2가,0,6,1,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,23.0,9.0,1.0
102,남대문로3가,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0.0,1.0,1.0,36.0,2.0,1.0
103,남대문로4가,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0.0,0.0,0.0,56.0,6.0,0.0
104,남대문로5가,1,8,0,1,3,1,0,9,4,0,0,0,0,0,0,0,0,6,18,0,0,0,1,1,8,0.0,1.0,1.0,203.0,30.0,4.0
105,봉래동1가,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0.0,0.0,0.0,28.0,5.0,0.0
106,봉래동2가,0,8,0,0,0,0,1,3,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,11.0,5.0,1.0
107,회현동1가,0,3,0,1,0,5,0,2,7,0,0,0,0,0,1,0,0,2,12,0,1,0,0,1,1,0.0,0.0,0.0,143.0,22.0,2.0
108,회현동2가,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,1.0,1.0,35.0,8.0,0.0
109,회현동3가,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,14.0,2.0,1.0
110,충무로1가,0,2,0,0,1,1,6,11,1,0,1,0,1,0,0,0,1,3,12,0,0,0,0,0,2,0.0,0.0,0.0,77.0,19.0,6.0
111,충무로2가,1,2,0,1,2,1,8,2,2,0,2,0,0,0,0,0,0,4,12,0,0,0,0,1,4,0.0,0.0,0.0,100.0,23.0,3.0
112,명동1가,0,0,0,2,1,1,0,2,2,0,0,0,0,0,0,0,1,4,10,0,0,0,0,0,3,0.0,0.0,0.0,64.0,15.0,2.0
113,명동2가,0,0,2,4,2,0,4,3,4,0,1,0,0,0,1,0,0,3,15,0,1,0,0,2,0,0.0,1.0,1.0,168.0,34.0,5.0
114,남산동1가,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0.0,1.0,1.0,25.0,2.0,0.0
115,남산동2가,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,61.0,13.0,1.0
116,남산동3가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,12.0,2.0,0.0
117,저동1가,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,38.0,5.0,0.0
118,충무로4가,0,2,0,3,0,0,9,1,1,0,1,0,0,0,0,0,0,2,6,1,0,0,0,0,4,0.0,0.0,0.0,111.0,12.0,0.0
119,충무로5가,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0.0,0.0,0.0,55.0,5.0,1.0
120,인현동2가,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0.0,0.0,0.0,63.0,2.0,0.0
121,예관동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,15.0,1.0,0.0
122,묵정동,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1.0,0.0,0.0,19.0,8.0,0.0
123,필동1가,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0.0,0.0,0.0,59.0,8.0,0.0
124,필동2가,2,1,1,2,0,2,3,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,2,0.0,0.0,0.0,137.0,23.0,1.0
125,필동3가,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0.0,1.0,1.0,64.0,16.0,1.0
126,남학동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,17.0,1.0,0.0
