,읍면동명,관공서수,은행수,종합병원수,일반병원수,약국수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
196,연희동,3,3,0,1,3,2,0,0,0,1,0,0,0,0,3
197,홍제제1동,1,1,0,0,1,1,0,0,0,1,0,0,0,1,3
198,홍제제3동,1,1,0,2,2,2,0,2,0,3,0,0,0,1,3
199,홍제제2동,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,홍은제1동,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
201,홍은제2동,2,1,1,0,1,2,0,0,0,0,0,0,0,0,3
202,남가좌제1동,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
203,남가좌제2동,2,2,0,0,2,2,0,0,0,0,0,0,0,0,1
204,북가좌제1동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,북가좌제2동,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3
206,아현동,2,3,0,0,3,0,0,0,0,1,0,0,0,2,1
207,공덕동,3,3,0,0,3,0,0,2,0,0,0,0,0,3,3
208,도화동,2,3,0,0,3,0,0,0,1,1,0,0,0,1,2
209,용강동,3,2,0,1,1,0,0,0,0,0,0,0,0,1,1
210,대흥동,2,2,0,0,3,2,0,0,0,2,0,0,0,3,3
211,염리동,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
212,신수동,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
213,서강동,3,2,0,0,1,2,0,0,0,0,0,0,0,2,3
214,서교동,3,3,0,0,3,1,0,0,0,2,0,0,0,3,3
215,합정동,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2
216,망원제1동,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1
217,망원제2동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
218,연남동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,성산제1동,2,1,0,0,0,1,0,0,0,1,0,0,0,0,2
220,성산제2동,3,1,0,0,2,0,0,1,0,0,0,0,0,3,3
221,상암동,3,3,0,0,2,0,0,1,0,0,0,0,0,1,3
222,목1동,2,3,0,1,3,1,0,0,0,0,0,0,0,2,2
223,목2동,1,1,0,1,2,0,0,0,0,1,0,0,0,1,1
